course_code,units,title,description
NUT 219B,3 units,International Nutrition,"Intervention programs to prevent or ameliorate nutritional problems in low-income populations. Planning, implementing, and evaluating nutrition intervention programs."
NUT 230,2 units,Experiments in Nutrition: Design & Execution,"Student-selected projects to enhance laboratory skills. Independently, or in groups of two-three students, design a protocol, carry out the project, analyze the results and report the findings."
NUT 250,3 units,Metabolic Homeostasis,"Regulatory mechanisms of carbohydrate, lipid, and protein homeostasis; mechanisms of metabolic enzyme regulation and of the metabolic hormones; homeostatic mechanisms and interactions; fuel-fuel interactions; nutrition-energy balance."
NUT 251,2 units,Nutrition & Immunity,"Cellular and molecular mechanisms underlying interactions of nutrition and immune function, including modulation of immunocompetence by diet and effects of immune responses on nutritional needs. Lectures and discussion explore implications for resistance to infection, autoimmunity and cancer."
NUT 252,3 units,Nutrition & Development,Relationship of nutrition to prenatal and early postnatal development.
NUT 253,3 units,Control of Energy Balance & Body Weight,"Comprehensive study of the biochemical, nutritional and physiological mechanisms controlling food intake, body composition and energy expenditure. Subject matter will be approached through lectures and discussions where students and staff will critically evaluate the literature."
NUT 254,3 units,Applications of Systems Analysis in Nutrition,Quantitative aspects of digestion and metabolism; principles of systems analysis. Evolution of models of energy metabolism as applied in current feeding systems. Critical evaluations of mechanistic models used analytically in support of nutritional research.
NUT 258,3 units,Field Research Methods in International Nutrition,"Issues and problems related to implementation of nutrition field research in less-developed countries, including ethics; relationships with local governments, communities, and scientists; data collection techniques and quality assurance; field logistics; research budgets; and other administrative and personal issues."
NUT 259,2 units,Nutrition & Aging,"Interaction between nutrition and aging. Topics include physiological/biochemical basis of aging, age-related changes affecting nutritional requirements, nutrition and mortality rate, assessment of nutritional status in the elderly, and relationship between developmental nutrition and the rate of aging."
NUT 270,3 units,Scientific Ethics in Biomedical Studies:   Emphasis on Nutrition,"Scientific ethics in biomedical studies, especially nutrition. Discussion and case study presentations on scientific integrity, fraud, misconduct, conflict of interest, human and animal research protections."
NUT 290,2 units,Beginning Nutrition Seminar,Discussion and critical evaluation of topics in nutrition with emphasis on literature review and evaluation in this field. Students give oral presentations on relevant topics.
NUT 290C,1 unit,Research Conference,Major professors lead research discussions with their graduate students. Research papers are reviewed and project proposals presented and evaluated. Format will combine seminar and discussion style.
NUT 291,1 unit,Advanced Nutrition Seminar,Advanced topics in nutrition research. Multiple sections may be taken concurrently for credit.
NUT 293A,3 units,"Current Topics in Obesity, Food Intake & Energy Balance",Current research and its evaluation. Principles of experimental design and scientific background for given article. Articles summarized for posting on Internet for use by healthcare professionals.
NUT 293B,3 units,"Current Topics in Obesity, Food Intake, & Energy Balance with Special Topics","Undergraduates with upper division standing with at least one writing course may enroll with consent of instructor. A continuation ofNUT 293A, with additional special topics."
NUT 294A,2 units,Current Topics in Developmental Nutrition,"Effects of nutrition on embryology, morphogenesis, and developmental mechanisms."
NUT 297T,1-3 units,Supervised Teaching in Nutrition,"Practical experience in teaching nutrition at the university level; curriculum design and evaluation; preparation and presentation of material. Assistance in laboratories, discussion sections, and evaluation of student work."
NUT 298,1-5 units,Group Study,Group study.
NUT 299,1-12 units,Research,Research.
NUT 492A,2 units,Professionalism: An Academic Perspective,For graduate students in their initial quarter of residence. Professionalism topics are presented and examples drawn from both the biological and social sciences.
NUT 492C,3 units,Grant Writing,Preparation of grants for governmental agencies (particularly NIH and USDA) and private foundations. Students will write a research grant or fellowship application.
NUB 210A,5 units,"Advanced Nutrition I: Nutrition & Metabolism, Macronutrients","Advanced general nutritional concepts. Integrating nutrition with biological systems, population nutrition issues, and research approaches. Advanced concepts on lipid and protein metabolism."
NUB 210B,5 units,"Advanced Nutrition II: Nutrition & Cell Biology, Micronutrients",Effects of nutrients at the cellular level. Principles of cell signaling and signaling modulation by nutrients. Advanced concepts of mineral and vitamin metabolism. Mineral and vitamin deviencies and associated pathologies.
NUB 210C,5 units,Advanced Nutrition III: Nutrition in Health & Disease,"Integration of biochemical, physiological, and genetic aspects of nutrition in the context of clinical and epidemiological observations related to health and disease, including obesity and diabetes, cancer, vascular and neurodegenerative diseases, osteoporosis, and birth defects. Review and consideration of governmental."
NUB 290C,1 unit,Research Group Conference,"Weekly conference on research problems, progress and techniques in animal sciences."
NUB 298,1-5 units,Directed Group Study,Directed group study.
NUB 299,1-12 units,Research,Research.
OBG 192,1 unit,Shifa Clinic Student Volunteer,Supervised work experience in Obstetrics & Gynecology.
OBG 194,1 unit,Shifa Clinic Student Volunteer,"Attend clinic every third Sunday performing duties of receptionist, intake, translation, monitor. Students attend a meeting immediately after end of clinic. There is a mandatory Monday meeting with Clinic co-directors. Students are expected to participate on various committees."
OBG 198,1-5 units,Directed Group Study,Directed group study.
OBG 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
OBG 220,3 units,Genetics of Reproduction,"Introduction to genetics of mammalian reproduction for domestic species, species used in research, and the human. Mendelian and non-Mendelian modes of inheritance. Research paper."
OBG 290,1 unit,Current Topics in Research,Selected topics in reproductive biology.
OBG 298,1-5 units,Group Study,Group study.
OBG 299,1-12 units,Research,Research.
OBG 430,3-12 units,Obstetrics & Gynecology Clerkship,"Obstetrics, gynecologic and gynecological oncology experience in the delivery room, operating room, clinics and wards at UCDMC and affiliated sites. Rounds, conferences, interactive student presentations and seminars ongoing."
OBG 430F,6-12 units,SJVP OBGYN Clerkship at UCSF,"Obstetrics, gynecologic and gynecological oncology experience in the delivery room, operating room, clinics and wards at UCSF Fresno. Rounds, conferences, interactive student presentations and seminars ongoing."
OBG 430R,2 units,Rural PRIME OBGYN Longitudinal Clerkship,Obstetrics and Gynecology Longitudinal Integrated Clerkship for the Rural PRIME Program.
OBG 430RA,3 units,Rural PRIME OBGYN Longitudinal Clerkship,Obstetrics and Gynecology Longitudinal Integrated Clerkship for the Rural PRIME Program.
OBG 430RB,3 units,Rural PRIME OBGYN Longitudinal Clerkship,Obstetrics and Gynecology Longitudinal Integrated Clerkship for the Rural PRIME Program.
OBG 430RC,3 units,Rural PRIME OBGYN Longitudinal Clerkship,Obstetrics and Gynecology Longitudinal Integrated Clerkship for the Rural PRIME Program.
OBG 430RD,1 unit,Rural PRIME OBGYN Longitudinal Clerkship,Obstetrics and Gynecology Longitudinal Integrated Clerkship for the Rural PRIME Program.
OBG 439D,1-12 units,Directed Clinical Studies in OBGYN,Individual directed studies in extended preparation for modified curriculum or to complete a clinical rotation following a leave of absence.
OBG 439R,1-12 units,Directed Studies in OBGYN,Individual directed studies in extended preparation for remediation of all or part of clinical rotation. Clinical studies to accommodate and satisfy remedial work as directed by the Committee on Student Progress and approved by the course IOR.
OBG 460,3-18 units,Away Clinical Elective in OBGYN,Active participation in inpatient and outpatient care. Attendance at specified conferences; student-faculty member informal conferences.
OBG 465,3-18 units,Away Acting Internship in OBGYN,Work at the level of a sub intern in Inpatient and/or Outpatient settings. Students are expected to provide direct patient management.
OBG 470,3-18 units,Gynecologic Oncology Acting Internship,"Four week elective primarily involves direct inpatient management of women on the UCDMC Gyn/Onc service. Students will be acting at the level of a sub-intern and will work under the supervision of house staff, fellows, and attendings."
OBG 471,3-18 units,Ambulatory Gynecology & Obstetrics Elective,"Conduct examinations, present patients and discuss treatment regimens at the following ambulatory clinics: General Obstetrics & Gynecology, New and Return Obstetrics (including Post-Partum), High-Risk Obstetrics, Pre-Operative Clinic, and other sub-specialty clinics as assigned."
OBG 472,1-9 units,Family Planning & Reproductive Health,"Elective focuses on the Gynecologic Subspecialty of Family Planning. Counseling and provision of contraceptive methods, experience with pelvic ultrasounds, management of spontaneous, inevitable and induced abortion and post-abortion care by both surgical and medical techniques are included."
OBG 475,3-18 units,Labor & Delivery Acting Internship,"Four week elective primarily involves direct inpatient management of women on the UCDMC L&D unit. Students will be acting at the level of a sub-intern and will work under the supervision of house staff, fellows, and attendings."
OBG 480,1 unit,The Birthing Process,Open only to UC Davis medical students. Training to assist in the birthing process as a Doula. Topics not covered in the summer course.
OBG 493,6 units,Gender Specific Medicine SSM,"Special Studies Module, a four-week course on the topic: Basic Science Principles Relating to Gender Specific Medicine."
OBG 494,1-12 units,Shifa Clinic,Interaction with patients from multiple ethnic and cultural backgrounds under the direct supervision of a physician/preceptor. Women's health issues and primary care issues in a diversely mixed population.
OBG 494A,1 unit,Shifa Clinic,Interaction with patients from multiple ethnic and cultural backgrounds under the direct supervision of a physician/preceptor. Women's health issues and primary care issues in a diversely mixed population.
OBG 494B,1 unit,Shifa Clinic,Interaction with patients from multiple ethnic and cultural backgrounds under the direct supervision of a physician/preceptor. Women's health issues and primary care issues in a diversely mixed population.
OBG 494C,1 unit,Shifa Clinic,Interaction with patients from multiple ethnic and cultural backgrounds under the direct supervision of a physician/preceptor. Women's health issues and primary care issues in a diversely mixed population.
OBG 498,1-5 units,Group Study,Explore particular topics in-depth in Obstetrics and Gynecology. Extensive contact with and oversight by instructor.
OBG 499,2-12 units,Research in Obstetrics & Gynecology,Research in Obstetrics and Gynecology arranged with instructor.
OPT 192,1-12 units,Research Internship,"Supervised work experience in ophthalmology research. Research staff in Ophthalmology have programs in cell biology, electron microscopy, biochemistry, immunology and visual psychophysics."
OPT 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
OPT 299,1-12 units,Basic Research in Visual Science,Basic research in visual science.
OPT 442,3-6 units,Introduction to Ophthalmology,Ocular disease diagnosis and management relevant to the clinical practice of future primary care physicians and others.
OPT 465,3-6 units,Advanced Subspecialty Ophthalmology,"Participation in disciplines of neuro-ophthalmology/pediatric ophthalmology, diseases of the cornea and external eye, glaucoma and retina."
OPT 498,1-3 units,Group Study,Directed reading and discussion.
OPT 499,1-12 units,Research in Ophthalmology,"Individual research on selected topics in optics and visual physiology, cornea and external disease."
OSU 099,1-5 units,Special Studies for Undergraduates,Special studies for undergraduates.
OSU 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
OSU 421,2.5 units,The Musculoskeletal System,Basic and clinical science of orthopaedic surgery and rheumatology.
OSU 428,3-6 units,Ambulatory & Emergency Room Orthopaedics,"Introduction to general orthopaedic problems and trauma and their management in an outpatient environment, including the emergency room. Conduct orthopaedic examinations, present patients to staff rotating through trauma, hand, pediatrics, adult and foot clinics."
OSU 464,6 units,Acting Internship,"Rotation designed to increase basic knowledge of musculoskeletal abnormalities at clinical level. Attention focused on selective case material. For those students who demonstrate proficiency, responsibility will be similar to that of intern."
OSU 465,3-6 units,Externship in Advanced Orthopaedics,"Advanced Orthopaedic rotation done at an approved institution. Topics may include Trauma, Sports, Spine, Pediatrics, Joint and/or Foot/Ankle. Students are expected to perform at the level of an Intern."
OSU 466,3-9 units,Away Clerkship in Orthopaedics,Orthopaedic advanced clerkship at an approved institution.
OSU 499,1-12 units,Orthopardics Research,Laboratory or clinical investigation on selected topics.
OTO 440,3-9 units,Otolaryngology Required Clerkship,"Provide fundamental knowledge of otorhinolaryngologic diagnosis and principles, develop facility with basic ENT instruments, provide an understanding of treatment for ear, nose and throat problems and provide knowledge of what patients should be referred for otorhinolaryngologic care."
OTO 450,4.5-6 units,Fourth Year Otolaryngology Elective,Participation in Otolaryngology Clinic and operating room. Evaluation and management of common Otolaryngologic diseases.
OTO 460,3-18 units,Clinical Otolaryngology Elective,Approved for graduate degree credit. Total involvement in clinical activities of the department.
OTO 465,3-6 units,Away Acting Internship in Otolaryngology,Externship rotation for Acting Internships in Otolaryngology.
OTO 499,1-12 units,Research,Approved for graduate degree credit. Participation in ongoing projects.
PMD 192,1-12 units,Internship in Human Pathology,Supervised work experience in pathology and related fields.
PMD 199,1-5 units,Special Study in Pathology for Advanced Undergraduates,Special study in Pathology for advanced undergraduates.
PMD 290C,1 unit,Research Group Conferences,"Focused around the mechanisms of function of the central nervous system under normal and pathogenic conditions. Seminars lead by various speakers from UC Davis and other Institutions, both domestic and international."
PMD 296,1-6 units,Neurodevelopment Group Study,"Explore mechanisms that impact perinatal development of the cerebral cortex, and other cortical structures, under normal and pathological conditions."
PMD 298,1-5 units,Advanced Group Study,Group Study provides the opportunity for a faculty member to work with students in a focused manner.
PMD 299,1-12 units,Research,Research.
PMD 405,1-4 units,Brain Cutting Conference,"Current specimens are sectioned, discussed, and clinical correlations proposed."
PMD 407,3-18 units,Advanced Neuropathology,"Presents an integrated introduction to mechanisms of the central and peripheral nervous system injury. Gain an understanding of pathological mechanisms underlying disease, the anatomic and molecular manifestations of pathologic processes of the CNS and PNS."
PMD 410A,2.5 units,General & Endocrine Pathology,"Pathologic mechanisms of human disease. Concepts of general pathologic processes, i.e., cell death, inflammation and neoplasia. Endocrine pathology in the context of clinical human disease. Emphasis on integration of clinical practice with gross and histologic images emphasizing team-based learning."
PMD 410B,1 unit,Systemic Pathology,Anatomic and clinical pathology of organ system human disease with an emphasis on integration with clinical medicine. Topics include hematopathology and neuropathology.
PMD 410C,2 units,Systemic Pathology,"Anatomic and clinical pathology of organ system human disease with an emphasis on integration with clinical medicine. Topics include pulmonary pathology, cardiovascular pathology, hematopatology, oncologic pathology, and nephropathology."
PMD 410D,2.5 units,Systemic Pathology,"Anatomic and clinical pathology of organ system human disease with emphasis on integration with clinical medicine. Content parallels concurrent clinical courses with integration of lectures and discussions. Topics include gastrointestinal and gynecologic pathology, hepatopathology, oncologic pathology and musculoskeletal pathology."
PMD 435,3-9 units,Clinical Patient Care in Pathology,Four-week course is designed to give the third-year medical student an exposure to the diverse roles that pathologists have in clinical patient care.
PMD 440,2 units,Surgery-Pathology-Radiology (SPR) Research Laboratory,Provide future clinicians and scientists with basic clinical and bioengineering laboratory skills to prepare for careers in translational research.
PMD 460,3 units,Diagnostic Medicine: Pathology in Practice,Asynchronous learning course bridges the gap between foundational pathophysiology learned in pre-clerkship curriculum and the utilization of pathology and laboratory medicine studies in clinical practice.
PMD 464,3-6 units,Anatomic Pathology,"Anatomic pathology with an emphasis on autopsy and surgical pathology with application to clinical practice. Specimen grossing, frozen sections, microscopic sign-out and conferences. Exposure to cytopathology, hematopathology, and clinical pathology is available."
PMD 465,3-6 units,Applied Clinical Laboratory Medicine,"Emphasis upon laboratory techniques, procedures, and interpretation of laboratory results. Students will be expected to participate fully and in all laboratory operations including bench techniques, laboratory management, and quality control."
PMD 470,3-16 units,Sub-Specialty in Didactic Pathology,Externship provides in-depth exposure to one of a variety of sub-specialties in Pathology.
PMD 474,3-9 units,Anatomic Pathology Acting Internship,Anatomic Pathology AI will permit students to gain skills needed for first year Pathology Residency. Students will perform autopsies and take full responsibility for a variety of surgical pathology cases. A mix of outpatient and inpatient cases is expected.
PMD 475,3-9 units,Anatomic Pathology Acting Internship,Year four level course designed to provide a concentrated experience in Surgical Pathology and Cytolopathology. Rotate on the surgical and cytopathology sub-specialty teams and assume responsibility for patient cases.
PMD 493,6 units,Interdisciplinary Study of Gastrointestinal Cancer,"In-depth study of gastrointestinal, hepatic and pancreatic cancer. Emphasis on an integration of basic science and clinical medicine. Participating departments include pathology, surgical oncology, medical oncology, gastroenterology, radiology and radiotherapy."
PMD 497T,1-5 units,Tutoring in Pathology,Assist instructor by tutoring medical students in preparation for one of the departmental courses that is a component of the required curriculum of the School of Medicine.
PMD 498,1-5 units,Advanced Group Study,"Group study in variety of advanced topics in general, special, experimental, or comparative pathology."
PMD 499,1-18 units,Research,"Research in experimental, molecular, comparative, and applied pathology."
PMI 099,1-5 units,Special Study for Undergraduates,Special study for undergraduates.
PMI 126,3 units,Fundamentals of Immunology,"Overview of immunology including components of the immune system, initiation and regulation of the immune response, infection and immunity, hypersensitivity and immune dysfunction. Clinical immunologic techniques, immunodeficiency, and vaccinology."
PMI 126L,2 units,Immunology Laboratory,Laboratory procedures in clinical immunology. Cells of the innate and adaptive systems. Quantitative and qualitative characterization of the immune response.
PMI 127,3 units,Medical Bacteria & Fungi,"Introduction to the bacterial and mycotic pathogens of man and animals, with emphasis on pathogenic mechanisms and ecologic aspects of infectious disease."
PMI 128,3 units,Biology of Animal Viruses,"Fundamental physical and chemical properties of animal viruses; methods of propagation, purification and assay. Mechanisms of viral replication and pathogenesis of viral infections in man and animals. Immunity to virus diseases and oncogenic properties of animal viruses."
PMI 129Y,3 units,"One Health: Human, Animal & Environment Interfaces","Introduction to fundamentals, challenges, and opportunities in One Health  using local and global health case studies. Animal, human, and environmental health problems, along with tools and transdisciplinary approaches, will be introduced to foster innovative thinking that addresses complex issues."
PMI 198,1-5 units,Directed Group Study,Directed group study.
PMI 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
PMI 200,1 unit,Research Foundations,"Introduction to key components of graduate school success including mentor/mentee relationship issues, avoiding plagiarism, hypothesis development and experimental design, demystifying the grant writing process, understanding the NIH administrative structure, preparing for a non-academic career, and strategies to maintain a work-life balance."
PMI 201,5 units,Integrative Pathobiology Core I,"Overview of molecular biology techniques, tissue structure and function, cell membrane pathology and cellular mechanisms of disease including cellular responses and adaptations to stress, cell cycle, cell death, cell biomechanics, vascular disturbances, and mechanisms of neoplasia and tumorigenesis."
PMI 202,4 units,Integrative Pathobiology Core II,"The second required core course in the graduate group with topics in inflammation, host-pathogen interaction, regenerative medicine, integrative pathology and population and ecosystem health."
PMI 203,2 units,Experimental Design & Data Analysis in Pathobiology,"Follows two required core courses,PMI 201&PMI 202, for Ph.D. and M.S. students. Goal is to bridge gap between statistics and real-world pathobiology to increase students' skills and independence in experiment design and data analysis."
PMI 214,2 units,Vector-borne Infectious Diseases: Changing Patterns,"This version has ended; see updated course, below.Vector-borne infectious diseases especially as they relate to changing patterns associated with climatic changes, trade and population movement."
PMI 221,1 unit,Topics in Virus  Research,Discussion-based seminar covering graduate student virology research. Informal presentations and discussion of technical problems in research design and experimentation are encouraged. Current stage of the research project is not important.
PMI 270,3 units,Advanced Immunology,"Current concepts of immunology with an emphasis on interactions between the host, the environment and the pathogen. These interactions will include those that are protective and successful for the host as well as those that are deleterious."
PMI 290,1 unit,Seminar,"Topics in pathology, microbiology or immunology."
PMI 293A,1 unit,Seminar in Infectious Diseases,Discussion of current topics and cases of infectious diseases.
PMI 298,1-5 units,Group Study,Group study.
PMI 299,1-12 units,Research,Research.
PED 199,1-5 units,Special Study in Pediatric Research,Special study for Pediatric research.
PED 299,1-12 units,Pediatric Research,Pediatric research.
PED 401,2 units,Preceptorship in Pediatrics,Opportunity to observe and participate in primary medical care in a practicing pediatricians office. Participation in history-taking and physical examination will be at discretion of preceptor and dependent on students experience. Evaluation by student.
PED 402,1-18 units,Clinical Experience in Private Practice,"Opportunity to participate in practice of preceptor, performing such tasks as history taking, physical examination, and patient management."
PED 405,0.5 units,Pediatrics Lecture Series,"Lecture series covers major topics in pediatrics with case presentations and panels from pediatric subspecialists. Topics include, but are not limited to: cardiology, pulmonology, nephrology, gastroenterology, critical care, and primary care pediatrics."
PED 430,3-12 units,Pediatric Clerkship,"Eight week clinical clerkship providing students with the opportunity to learn fundamentals of caring for the pediatric patient by participating in nursery, ambulatory and inpatient services at UCDMC and affiliated clinical sites. Rounds, conferences, student presentations ongoing."
PED 430F,12 units,SJVP Pediatric Clerkship at UCSF,"Eight-week clinical clerkship providing students with the opportunity to learn fundamentals of caring for the pediatric patient by participating in nursery, ambulatory and inpatient services at UCSF Fresno. Rounds, conferences, student presentations ongoing."
PED 430FA,1.5-6 units,SJVP Longitudinal Pediatrics Clerkship,"Longitudinal Pediatrics Clerkship runs concurrently with Internal Medicine, Family Medicine and Psychiatry for 32 weeks. Time is spent in direct patient care situations under the guidance of faculty."
PED 430FB,1.5-6 units,SJVP Longitudinal Pediatrics Clerkship,"Longitudinal Pediatrics Clerkship runs concurrently with Internal Medicine, Family Medicine and Psychiatry for 32 weeks. Time is spent in direct patient care situations under the guidance of faculty."
PED 430FC,1.5-6 units,SJVP Longitudinal Pediatrics Clerkship,"Longitudinal Pediatrics Clerkship runs concurrently with Internal Medicine, Family Medicine and Psychiatry for 32 weeks. Time is spent in direct patient care situations under the guidance of faculty."
PED 430FD,1.5-6 units,SJVP Longitudinal Pediatrics Clerkship,"Longitudinal Pediatrics Clerkship runs concurrently with Internal Medicine, Family Medicine and Psychiatry for 32 weeks. Time is spent in direct patient care situations under the guidance of faculty."
PED 430R,2 units,Rural PRIME Pediatrics Longitudinal Clerkship,Pediatrics Longitudinal Integrated Clerkship for the Rural PRIME Program.
PED 430RA,3 units,Rural PRIME Pediatrics Longitudinal Clerkship,Pediatrics Longitudinal Integrated Clerkship for the Rural PRIME Program.
PED 430RB,3 units,Rural PRIME Pediatrics Longitudinal Clerkship,Pediatrics Longitudinal Integrated Clerkship for the Rural PRIME Program.
PED 430RC,3 units,Rural PRIME Pediatrics Longitudinal Clerkship,Pediatrics Longitudinal Integrated Clerkship for the Rural PRIME Program.
PED 430RD,1 unit,Rural PRIME Pediatrics Longitudinal Clerkship,Pediatrics Longitudinal Integrated Clerkship for the Rural PRIME Program.
PED 430TA,4 units,TeachMS Longitudinal Pediatrics Clerkship (A),"Longitudinal Clerkship runs concurrently with Primary Care and Psychiatry for 24 weeks. Time is spent in direct patient care situations under the guidance of faculty. On-going patient write-ups, rounds, conferences are required."
PED 430TB,6 units,TeachMS Longitudinal Pediatrics Clerkship (B),"Longitudinal clerkship runs concurrently with Primary Care and Psychiatry for 24 weeks. Time is spent in direct patient care situations under the guidance of faculty. On-going patient write-ups, rounds, conferences are required."
PED 430TC,2 units,TeachMS Longitudinal Pediatrics Clerkship (C),"Longitudinal clerkship runs concurrently with Primary Care and Psychiatry for 24 weeks. Time is spent in direct patient care situations under the guidance of faculty. On-going patient write-ups, rounds, conferences are required."
PED 440,3-6 units,Pediatrics for the Differentiated Student,"One goal is to facilitate the development and reinforcement of the knowledge, skills and attitudes needed as an intern caring for children. Provides a bridge between student experiences in the pre-clerkship phase, the Pediatric clerkship, their Pediatric acting internships and varied Pediatric electives and the Transition to Residency course."
PED 460A,3-18 units,General Inpatient Pediatric Acting Internship,The Ward Acting Intern functions in a manner similar to that of a pediatric intern. The Acting Intern takes admissions in the regular sequence and is expected to take night call.
PED 460B,3-18 units,Acting Internship: Outpatient Pediatrics,Supervised experience in pediatric care on outpatient service at UCDMC. Student functions as Acting Intern with appropriate supervision by residents and attending faculty.
PED 461,6 units,Pediatric Inpatient AI in Hematology/Oncology,Inpatient and outpatient experience in diagnosis and management of oncologic and hematologic disorders in children. Laboratory experience and participation in clinical investigation may be arranged.
PED 462,3-18 units,Elective in Pediatric Endocrinology,Inpatient and outpatient experience in diagnosis and management of endocrine endocrine disorders in children. Laboratory experience and participation in clinical investigation may be arranged.
PED 465,3-18 units,Pediatrics Specialty Elective,Supervised experience in a variety of pediatric subspecialties at a local or away site.
PED 466,3-18 units,Elective in Pediatric Cardiology,Inpatient and outpatient experience in diagnosis and management of cardiologic disorders in children. Laboratory experience and participation in clinical investigation may be arranged.
PED 467,3-18 units,Elective in Pulmonary Medicine,"Inpatient and outpatient management of pediatric patients with pulmonary diseases. These will include but will not be limited to cystic fibrosis, asthma, and other forms of chronic pulmonary diseases as well as congenital abnormalities."
PED 468,3-18 units,Elective in Pediatrics Nephrology,Inpatient and outpatient experience in diagnosis and management of renal disorders in children. Laboratory experience and participation in clinical investigation may be arranged.
PED 469,3-18 units,Elective in Pediatric Infectious Disease,Inpatient and outpatient experience in diagnosis and treatment of infectious disease of infants and children. Laboratory and clinical investigation may be arranged.
PED 470,3-18 units,Elective in Pediatric Neurology,Inpatient and outpatient experience in diagnosis and management of neurological disorders in children. Students will also participate in other pediatric subspecialty clinics which serve children with neurological disorders. Does not satisfy the fourth-year neurology requirement.
PED 471,3-18 units,Elective in Pediatric Gastroenterology,Inpatient and outpatient experience in diagnosis and management of gastroenterology disorders in children. Laboratory experience and participation in clinical investigation may be arranged.
PED 473,4.5-18 units,Away Acting Internship in Pediatrics,Work at the level of a sub intern in Inpatient and/or Outpatient settings. Expectation is to provide direct patient management.
PED 474,3-8 units,Neonatal Intensive Care Unit (ICU),The UC Davis Children's Hospital Pediatric ICU is a 24-bed ICU on Davis 10 providing care for critically ill pediatric patients. Patients are usually younger than 18 years of age and can have either primary medical or surgical issues.
PED 477,3-8 units,Pediatric Intensive Care Unit (ICU),"Evaluation and support of critically ill infants and children. In general, student expected to take night call every third night during rotation."
PED 493,6 units,"Ethical, Legal & Social Issues in Clinical Genetics","Develop advanced knowledge, communication skills and attitudes necessary to provide compassionate, knowledgeable, and expert care to patients who may be at increased genetic risk for disease. Seminars cover ethical and legal principles, epidemiology, and genetics."
PED 494,3-6 units,Intellectual & Developmental Disability in the Community,In-depth experience with Intellectual & Developmental Disability across the lifespan.
PED 495,3-6 units,Fetal & Neonatal Physiology,Didactic is available for students interested in exploring the fascinating world of the fetus and neonate. Designed to combine the basic sciences with relevant clinical examples of disorders.
PED 498,1-5 units,Directed Group Study,Explore in-depth various topics in Pediatrics. Extensive contact with and oversight by instructor.
PED 499,1-18 units,Research Topics in Pediatrics,"Individual research project in pediatric subspecialty areas (cardiology, endocrinology, hematology, metabolism, newborn physiology and others) may be arranged with faculty member. Independent research by student will be emphasized and long-term projects are possible."
PFS 200,4 units,Methods & Materials in Theatre Research,"Essential research tools in theatre and related fields; bibliographies, primary sources; methods of evaluating and presenting evidence; delineating research areas in the field."
PFS 259,4 units,Topics in Contemporary Theatre & Performance,"Special topics designed to study in depth aspects of contemporary performance including performance analysis, cultural and historical context, modes of production, theoretical and political entailments, and issues of spectatorship; e.g., ""Brecht and After,"" ""British Theater,"" ""Race and Gender in Performance."""
PFS 265A,4 units,Performance Studies: Modes of Production,"Introduction to the literature of performance production in a variety of media: theatre, dance, film, video, computer-based, looking at cultural, aesthetic, rhetorical and political theory."
PFS 265B,4 units,Performance Studies: Signification & the Body,"Introduction to analysis of the body in performance, drawing on theoretical models from several fields."
PFS 265C,4 units,Performance Studies: Performance & Society,"Introduction to the role of performance (broadly defined), in everyday life, sociopolitical negotiation, identity, social movements, the media, and the state."
PFS 265D,4 units,"Performance Studies: Theory, History, Criticism","Introduction to the theory, history and criticism, informing performance studies."
PFS 270A,4 units,Individually Guided Research in Performance Studies,"Individually guided research, under the supervision of a faculty member, on a Performance Studies topic related to the student's proposed dissertation project to produce a dissertation prospectus."
PFS 270B,4 units,Individually Guided Research in Performance Studies,"Individually guided research, under the supervision of a faculty member, on a Performance Studies topic related to the student's proposed dissertation project, to produce a dissertation prospectus."
PFS 270C,4 units,Individually Guided Research in Performance Studies,"Individually guided research, under the supervision of a faculty member, on a Performance Studies topic related to the student's proposed dissertation project to produce a dissertation prospectus."
PFS 280,1-6 units,Practice as Research Laboratory,"Individual, collective or collaborative practice as research. Discussion and exploration of examples, portfolio development and documentation strategies."
PFS 290,4 units,Colloquia in Performance Studies,"Designed to provide cohort identity and faculty exchange. Opportunity to present papers, hear guest   lecturers, and see faculty presentations, gather for organizational and administrative new, exchange of information and make announcements. Must be taken every year that a Performance Studies graduate is registered, prior to taking the Qualifying Examination."
PFS 298,1-5 units,Group Study,Group study.
PFS 299,1-12 units,Individual Study,Individual study.
PFS 299D,1-12 units,Dissertation Research,Dissertation research.
PFS 459,4 units,Approaches to Theatre & Dance,"Work on approaches to theatre, dance, film/video, design and performance, with a focus on methodology and professional development."
PER 001,5 units,Elementary Persian,"Introduction to listening, speaking, reading and writing skills in Persian and to Persian culture."
PER 002,5 units,Elementary Persian,"Continuation ofPER 001. Introduction to listening, speaking, reading and writing skills in Persian and to Persian culture."
PER 003,5 units,Elementary Persian,"Continuation ofPER 002. Introduction to listening, speaking, reading and writing skills in Persian and to Persian culture."
PER 021,4 units,Intermediate Persian,"Integrated presentation of listening, speaking, reading and writing skills as well as cultural topics in intermediate Persian."
PER 022,4 units,Intermediate Persian,"Integrated presentation of listening, speaking, reading and writing as well as cultural topics in Intermediate Persian."
